,GAME_ID,TEAM_ABBREVIATION,TEAM_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON
117,11700065,DAL,32212254840,41.0,83.0,5.455,19.0,48.0,3.3689999999999998,7.0,9.0,3.5,11.0,35.0,46.0,28.0,10.0,5.0,19.0,29.0,108.0,70.0,2017
118,11700066,LAC,28991029428,39.0,75.0,5.243,11.0,25.0,2.786,15.0,23.0,4.417,5.0,39.0,44.0,25.0,11.0,2.0,20.0,19.0,104.0,85.0,2017
119,11700066,SAC,32212255160,31.0,77.0,4.071,12.0,26.0,3.1,13.0,18.0,5.125,6.0,32.0,38.0,21.0,10.0,4.0,26.0,22.0,87.0,-85.0,2017
120,11700067,CHA,32212255320,42.0,85.0,5.470000000000001,17.0,30.0,4.9670000000000005,10.0,14.0,3.084,9.0,41.0,50.0,24.0,6.0,4.0,21.0,21.0,111.0,75.0,2017
121,11700067,DAL,32212254840,35.0,85.0,5.0329999999999995,12.0,31.0,3.5460000000000003,14.0,17.0,3.1390000000000002,6.0,31.0,37.0,25.0,11.0,6.0,15.0,15.0,96.0,-75.0,2017
122,11700068,MIA,32212254960,35.0,88.0,4.574,4.0,30.0,1.116,21.0,27.0,6.183,9.0,41.0,50.0,23.0,6.0,4.0,20.0,23.0,95.0,-120.0,2017
123,11700068,PHI,32212255100,42.0,90.0,6.99,14.0,39.0,3.566,21.0,26.0,4.759,5.0,43.0,48.0,27.0,11.0,8.0,16.0,20.0,119.0,120.0,2017
124,11700069,CLE,32212254780,40.0,80.0,7.966,9.0,25.0,2.25,24.0,29.0,7.334,11.0,36.0,47.0,21.0,8.0,4.0,22.0,16.0,113.0,35.0,2017
125,11700069,ORL,28991029554,42.0,88.0,6.899,11.0,33.0,3.316,11.0,18.0,4.25,10.0,31.0,41.0,27.0,11.0,3.0,16.0,23.0,106.0,-35.0,2017
126,11700070,CHI,24159191115,38.0,78.0,5.731,14.0,25.0,4.9,14.0,23.0,6.017,5.0,35.0,40.0,28.0,9.0,6.0,26.0,24.0,104.0,-105.0,2017
127,11700070,TOR,27380416937,46.0,90.0,7.814,19.0,48.0,4.266,14.0,19.0,5.583,7.0,33.0,40.0,31.0,10.0,6.0,15.0,21.0,125.0,105.0,2017
128,11700071,MEM,32212255260,47.0,85.0,7.925,14.0,26.0,5.166,34.0,38.0,8.125,10.0,36.0,46.0,29.0,10.0,4.0,14.0,18.0,142.0,205.0,2017
129,11700071,NOP,30601642060,38.0,85.0,5.205,8.0,28.0,3.699,17.0,21.0,5.583,7.0,23.0,30.0,14.0,5.0,7.0,21.0,31.0,101.0,-205.0,2017
130,11700072,HOU,27380416665,34.0,88.0,3.29,15.0,53.0,1.708,14.0,18.0,4.9,13.0,30.0,43.0,19.0,9.0,0.0,14.0,12.0,97.0,-45.0,2017
131,11700072,SAS,27380416903,45.0,85.0,5.871,7.0,21.0,3.25,9.0,12.0,2.8,10.0,37.0,47.0,30.0,9.0,1.0,17.0,16.0,106.0,45.0,2017
